Timestamp,Rssi,Snr,SequenceNumber,SpreadingFactor,TxPower,Bandwidth
132963208299097122,-83,9,2155,10,14,2
132963208299332222,-82,9,2156,10,14,2
132963208299816315,-82,9,2157,10,14,2
132963208300414255,-83,8,2158,10,14,2
132963208301302188,-82,9,2159,10,14,2
132963208301882660,-82,9,2160,10,14,2
132963208302624980,-82,9,2161,10,14,2
132963208303485870,-83,9,2162,10,14,2
132963208304417727,-85,8,2163,10,14,2
132963208305007740,-87,8,2164,10,14,2
132963208305592550,-91,7,2165,10,14,2
132963208306325625,-93,7,2166,10,14,2
132963208307077774,-93,7,2167,10,14,2
132963208307828389,-89,7,2168,10,14,2
132963208308548502,-88,8,2169,10,14,2
132963208309288187,-88,8,2170,10,14,2
132963208310446941,-87,8,2171,10,14,2
132963208311170068,-86,8,2172,10,14,2
132963208311905034,-86,9,2173,10,14,2
132963208312678284,-84,9,2174,10,14,2
132963208314645614,-84,9,2175,10,14,2
132963208314753470,-85,8,2176,10,14,2
132963208314870090,-86,9,2177,10,14,2
132963208315726757,-88,8,2178,10,14,2
132963208316463199,-88,8,2179,10,14,2
132963208317059929,-87,8,2180,10,14,2
132963208317744240,-86,8,2181,10,14,2
132963208318559107,-86,8,2182,10,14,2
132963208319414000,-86,8,2183,10,14,2
132963208320141479,-90,8,2184,10,14,2
132963208320891439,-93,7,2185,10,14,2
132963208321557266,-95,6,2186,10,14,2
132963208322348409,-92,6,2187,10,14,2
132963208323143088,-92,7,2188,10,14,2
132963208323577412,-91,8,2189,10,14,2
132963208324550526,-87,8,2190,10,14,2
132963208325384052,-85,9,2191,10,14,2
132963208326124086,-84,8,2192,10,14,2
132963208326797999,-84,8,2193,10,14,2
132963208327591001,-83,9,2194,10,14,2
132963208328331144,-83,9,2195,10,14,2
132963208329014414,-83,8,2196,10,14,2
132963208329706929,-84,8,2197,10,14,2
132963208330478767,-85,8,2198,10,14,2
132963208331033207,-85,10,2199,10,14,2
132963208331875915,-86,9,2200,10,14,2
132963208332287793,-86,8,2201,10,14,2
132963208333429359,-85,9,2202,10,14,2
132963208334191946,-85,9,2203,10,14,2
132963208334898744,-85,9,2204,10,14,2
132963208335750260,-85,8,2205,10,14,2
132963208336499266,-85,8,2206,10,14,2
