Timestamp,Rssi,Snr,SequenceNumber,SpreadingFactor,TxPower,Bandwidth
132963209033623117,-89,8,3146,10,14,2
132963209034375704,-89,7,3147,10,14,2
132963209035103105,-90,7,3148,10,14,2
132963209035859855,-89,7,3149,10,14,2
132963209036600690,-90,7,3150,10,14,2
132963209037343982,-90,7,3151,10,14,2
132963209038120568,-90,8,3152,10,14,2
132963209039343062,-89,7,3153,10,14,2
132963209039955048,-89,7,3154,10,14,2
132963209040445549,-89,7,3155,10,14,2
132963209041089154,-89,7,3156,10,14,2
132963209042180664,-89,8,3157,10,14,2
132963209042973598,-89,8,3158,10,14,2
132963209043567430,-89,7,3159,10,14,2
132963209044411575,-89,7,3160,10,14,2
132963209045204595,-89,8,3161,10,14,2
132963209046029534,-89,8,3162,10,14,2
132963209046821964,-89,9,3163,10,14,2
132963209047375060,-89,9,3164,10,14,2
132963209048111599,-89,8,3165,10,14,2
132963209049017472,-89,7,3166,10,14,2
132963209049622487,-90,8,3167,10,14,2
132963209050283399,-89,7,3168,10,14,2
132963209051212700,-90,7,3169,10,14,2
132963209051819290,-90,7,3170,10,14,2
132963209052634567,-89,7,3171,10,14,2
132963209053282640,-89,7,3172,10,14,2
132963209054151264,-89,8,3173,10,14,2
132963209054766140,-89,8,3174,10,14,2
132963209055614877,-89,8,3175,10,14,2
132963209056424420,-89,9,3176,10,14,2
132963209057199381,-90,7,3177,10,14,2
132963209057776393,-89,8,3178,10,14,2
132963209058623279,-89,8,3179,10,14,2
132963209059278259,-89,8,3180,10,14,2
132963209059992402,-89,8,3181,10,14,2
132963209060810175,-89,8,3182,10,14,2
132963209061393232,-89,8,3183,10,14,2
132963209062352989,-89,8,3184,10,14,2
132963209062969762,-90,7,3185,10,14,2
132963209063546895,-89,8,3186,10,14,2
132963209064065929,-89,7,3187,10,14,2
132963209065242978,-90,7,3188,10,14,2
132963209066056022,-90,7,3189,10,14,2
132963209066722703,-91,7,3190,10,14,2
132963209067064354,-90,8,3191,10,14,2
132963209067982508,-91,7,3192,10,14,2
132963209069009815,-90,7,3193,10,14,2
