Timestamp,Rssi,Snr,SequenceNumber,SpreadingFactor,TxPower,Bandwidth
132963207206211494,-73,9,484,7,14,2
132963207206296111,-72,9,485,7,14,2
132963207206806991,-73,9,486,7,14,2
132963207207137271,-73,9,487,7,14,2
132963207209873183,-73,9,490,7,14,2
132963207210434885,-73,8,491,7,14,2
132963207210897057,-73,9,492,7,14,2
132963207211302310,-72,9,493,7,14,2
132963207211551635,-72,9,494,7,14,2
132963207211916747,-72,9,495,7,14,2
132963207212508337,-72,9,496,7,14,2
132963207212884144,-72,9,497,7,14,2
132963207213253302,-72,9,498,7,14,2
132963207213666149,-72,9,499,7,14,2
132963207214094198,-72,9,500,7,14,2
132963207214377855,-72,9,501,7,14,2
132963207214787991,-72,9,502,7,14,2
132963207215173260,-72,9,503,7,14,2
132963207215705153,-72,9,504,7,14,2
132963207216051891,-72,9,505,7,14,2
132963207216778082,-72,9,506,7,14,2
132963207217462796,-71,9,507,7,14,2
132963207218089436,-71,9,508,7,14,2
132963207218521249,-71,9,509,7,14,2
132963207219384185,-71,9,510,7,14,2
132963207219736726,-67,8,678,7,14,2
132963207220095308,-67,8,679,7,14,2
132963207220684362,-68,9,680,7,14,2
132963207221158096,-68,9,681,7,14,2
132963207221463056,-69,8,682,7,14,2
132963207221796978,-69,9,683,7,14,2
132963207222272340,-68,9,684,7,14,2
132963207222772220,-69,9,685,7,14,2
132963207223119246,-69,9,686,7,14,2
132963207223576584,-68,9,687,7,14,2
132963207224965763,-69,9,688,7,14,2
132963207225525485,-68,9,689,7,14,2
132963207226214630,-68,9,690,7,14,2
132963207226902460,-68,10,691,7,14,2
132963207227335484,-69,10,692,7,14,2
132963207228298010,-70,9,693,7,14,2
132963207228955585,-69,9,694,7,14,2
132963207230303481,-69,9,695,7,14,2
132963207230933996,-69,9,696,7,14,2
132963207231324540,-69,9,697,7,14,2
132963207231785843,-68,9,698,7,14,2
132963207232287429,-69,9,699,7,14,2
132963207232792185,-69,9,700,7,14,2
132963207233662370,-68,9,701,7,14,2
132963207234318059,-68,9,702,7,14,2
132963207234882370,-69,9,703,7,14,2
132963207235643511,-69,9,704,7,14,2
132963207236173580,-68,9,705,7,14,2
132963207236628758,-69,9,706,7,14,2
132963207237158251,-69,9,707,7,14,2
132963207237451228,-69,9,708,7,14,2
132963207237895994,-69,9,709,7,14,2
132963207238634430,-69,10,710,7,14,2
132963207239007904,-68,9,711,7,14,2
132963207239543206,-68,9,712,7,14,2
132963207240360889,-69,9,713,7,14,2
132963207240890542,-69,10,714,7,14,2
132963207241344444,-68,9,715,7,14,2
132963207241817697,-68,9,716,7,14,2
132963207242328700,-69,9,717,7,14,2
132963207242821870,-68,10,718,7,14,2
132963207243270801,-68,9,719,7,14,2
132963207243614018,-68,9,720,7,14,2
132963207244058467,-69,9,721,7,14,2
132963207244560489,-68,8,722,7,14,2
132963207245109770,-68,9,723,7,14,2
132963207245524205,-68,9,724,7,14,2
132963207246140739,-69,9,725,7,14,2
132963207246586179,-68,9,726,7,14,2
132963207246904555,-68,9,727,7,14,2
132963207247275859,-69,9,728,7,14,2
132963207247779113,-69,9,729,7,14,2
132963207248254836,-69,9,730,7,14,2
132963207248882377,-69,9,731,7,14,2
132963207249460613,-69,9,732,7,14,2
132963207250048691,-69,10,733,7,14,2
132963207250309548,-69,9,734,7,14,2
132963207250727810,-68,9,735,7,14,2
132963207251103175,-69,9,736,7,14,2
132963207251617683,-68,9,737,7,14,2
132963207252056465,-69,9,738,7,14,2
132963207252420566,-70,9,739,7,14,2
132963207252704506,-70,9,740,7,14,2
132963207253031789,-70,9,741,7,14,2
132963207253478806,-69,9,742,7,14,2
132963207253811472,-69,9,743,7,14,2
132963207254235669,-69,9,744,7,14,2
132963207254489026,-69,9,745,7,14,2
132963207254790948,-68,9,746,7,14,2
132963207255223969,-69,9,747,7,14,2
132963207255677521,-69,9,748,7,14,2
132963207256177056,-69,9,749,7,14,2
132963207256632640,-69,9,750,7,14,2
132963207257151089,-70,9,751,7,14,2
132963207257582542,-70,9,752,7,14,2
